Male 20-39 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,28.4936049266,28.6872671488,28.7948666533,28.8283378747,28.9225260417,28.4186180977,27.9673898024,27.5250941029,27.076310144,27.0051194539,26.9523541021,27.1939498976,27.7556705133,28.4787636076,29.2596027137,29.9028875902,30.3354065708,30.9420265041,31.6893758341,32.5101478895,33.2426066475
Albania,26.6009852217,27.1942446043,27.4412855377,27.7719112988,27.037037037,27.5720164609,30.0435413643,31.7616240995,33.3135743924,31.7057704502,27.7850589777,27.3848150552,29.2199488491,31.6708229426,33.1097560976,31.1524609844,28.340323547,26.0817307692,25,25.4901960784,25.2173913043
Algeria,28.3602150538,27.7450781409,26.3661453542,25.1461011855,21.7048497471,22.8958359701,24.547091853,26.7770379701,29.0190842692,30.7336232291,33.5109147609,36.0287023637,37.0952407583,36.5702694268,33.6633663366,30.6010171059,28.7045252884,27.9343529816,28.513434335,28.3602865916,27.239407121
Angola,29.0354330709,28.5650022492,27.7981277981,26.8988514265,25.971849866,25.881649731,25.9508408797,26.1920313521,26.4851485149,26.4001294917,26.7973856209,27.2338867188,28.1580352376,29.227459783,29.892384106,30.8044957113,31.2562545867,31.8444241872,32.5371135171,32.796614543,32.9376141498
Argentina,32.4309016765,31.4341846758,30.2789986623,29.2839330246,28.8753545803,29.0789473684,29.0266887274,28.9813197151,28.6554832248,28.7588590172,30.0143424537,30.8028428534,31.5100772085,31.7299861065,30.7911683533,30.0217710046,29.3749460416,28.7293283834,28.1151745822,27.5884532389,26.8099319892
Armenia,26.0124610592,28.9544235925,33.2591768632,30.1869158879,26.7479674797,28.0638143582,29.6885354539,33.4763948498,33.8372093023,30.4319371728,27.8008298755,27.4825174825,30.7425399028,32.9234972678,32.1212121212,30.207635633,27.8710543989,27.1929824561,28.1546811398,27.7282086479,26.290097629
Aruba,25,26.3157894737,26.0869565217,25.9259259259,29.6296296296,30,32.2580645161,36.6666666667,34.375,37.5,31.8181818182,28.5714285714,26,25,26.4150943396,27.4509803922,26.4150943396,25.4901960784,22.641509434,22.641509434,24
Australia,31.5637065637,29.6479175612,28.2855493554,27.058215639,28.3998752339,29.9458985232,31.8887980376,32.9866835764,32.4099072661,31.7576564581,29.8002103049,28.7011448875,27.9756895746,27.2791959441,26.8868324985,26.1269324654,25.558429344,25.0625995903,24.8986511388,24.897724826,24.7286984527
Austria,25.9707983846,25.2478314746,27.3032336791,28.1975889444,28.2342905886,28.9863166713,30.2130044843,31.6699191525,33.4422657952,33.7601254246,31.3710302091,29.1177205699,27.1816181863,26.5202702703,25.9427207637,24.6986528008,23.5003528582,22.3659454374,22.0622935347,22.1115065243,22.3574325937
Azerbaijan,26.1188554659,29.5685279188,32.5818572195,28.8235294118,24.870672503,24.7207207207,26.9513008672,31.9901568748,32.3604420516,33.2807570978,31.6654030831,30.5562302648,32.5022872827,33.7076225437,32.954780095,31.0358645562,29.3123772102,28.6516853933,29.3057153817,29.2151995417,27.5353999235
Bahamas,27.7777777778,26.8292682927,26.9230769231,27.5362318841,28.5714285714,28.2608695652,28.8461538462,31.8965517241,35.4838709677,35.9712230216,33.7748344371,33.125,31.7365269461,31.0734463277,30.8108108108,29.7435897436,28.7128712871,27.4038461538,26.1682242991,25.9259259259,25.6880733945
Bahrain,33.8709677419,32.3943661972,32.5301204819,25.2631578947,28.5714285714,30.612244898,43.7810945274,47.3251028807,47.0383275261,45.3731343284,42.4,42.1052631579,41.3793103448,37.8486055777,35.4359925788,33.5640138408,31.855500821,30.2982731554,29.1729323308,28.0882352941,27.5216138329
Bangladesh,30.0675098274,29.3164910105,28.7459851976,27.1407157579,25.8898152508,26.1635005128,26.3630697814,27.1873755287,28.4466233524,29.8314097343,31.7464547712,33.6762086678,35.0390338373,35.3745876824,34.8004356461,33.5760929267,31.8977146097,30.4781763897,29.1866914835,28.0068447017,27.2322031609
Barbados,30.9278350515,27.4509803922,23.0769230769,21.2962962963,22.5225225225,26.724137931,30.5084745763,36.3636363636,38.0952380952,38.2113821138,33.3333333333,32.2314049587,30.9523809524,29.6875,27.5590551181,24.21875,22.8346456693,22.7642276423,22.7642276423,22.3140495868,21.3675213675
Belarus,27.9416058394,30.4335343095,33.658008658,31.9062181448,29.686746988,29.4199214236,30.4638715433,33.0759330759,32.4459234609,31.7295727914,30.9114085405,31.7019882019,34.0143691064,33.6943996313,31.501657982,28.2370153621,25.2966422621,24.3710691824,24.8023984737,24.8013620885,23.9490822972
Belgium,29.1862652869,28.2828282828,28.4632516704,26.7945677948,27.0625662778,27.9021125288,29.8333333333,32.3775638342,32.0412371134,30.9813463098,29.0555444155,27.4529042386,26.106870229,25.2722493428,24.593495935,23.9970824216,23.7398373984,23.5272988506,23.7209302326,23.99499732,23.9336069963
Belize,30.303030303,25.641025641,23.9130434783,23.6363636364,21.6666666667,22.7272727273,23.6111111111,25.9259259259,29.0322580645,30.9090909091,30.9523809524,30.985915493,32.2784810127,33.3333333333,34.2245989305,33.3333333333,32.8703703704,31.5789473684,30.6722689076,29.387755102,28.2868525896
Benin,26.9109947644,25.9036144578,25.3968253968,25.5301102629,24.9050873197,25.1172136638,25.3774680604,25.7213930348,26.6893327667,27.9747279747,27.9349789284,28.6147623862,28.8540098903,28.9801226082,29.3850397534,30.0086107922,31.0189938398,31.9782256196,32.6119087838,32.8314715881,32.5218645749
Bhutan,29.8850574713,29.702970297,30.0884955752,29.4573643411,29.1390728477,30.0546448087,29.5454545455,27.7551020408,26.4285714286,25.6809338521,27.3684210526,34.6041055718,36.6310160428,38.3863080685,36.2790697674,33.1848552339,30.4721030043,28.7784679089,28.3400809717,27.4703557312,26.8482490272
Bolivia,27.7900960828,27.5954454119,27.5301204819,27.3513513514,26.9841269841,27.0051194539,27.4895872775,27.7664630007,28.0351195883,28.517621738,28.9028516191,29.5017482517,30.3956834532,31.5361890694,32.4728962313,33.1714424478,33.2002457002,32.5499412456,31.7795409464,30.7046518029,29.5693135935
Bosnia and Herzegovina,25.9143968872,28.8811188811,32.5596389426,31.4371257485,30.2232398397,31.2330255296,32.9002079002,35.9705159705,35.1947442515,32.9826732673,30.0168634064,29.5217152281,30.458817026,30.0445930881,29.2020373514,26.7166762839,23.8629651506,22.6829268293,21.541377132,21.437994723,21.1683848797
Botswana,28.2828282828,28.4444444444,26.5873015873,24.3816254417,24.0963855422,25.5696202532,27.4428274428,27.8169014085,28.9156626506,29.9346405229,31.850117096,34.1703056769,36.7408906883,37.6060320452,36.8888888889,34.9326599327,33.7359098229,33.281613654,33.1831831832,33.1391114348,32.3175053154
Brazil,29.2287581699,28.3971902937,27.9907341018,27.0335780994,27.1315888319,28.4652731451,29.8068365362,31.5968022656,32.4428713697,32.7433186454,33.0773966477,33.4386576596,33.6725677516,33.4600989374,33.0250617031,32.0498117247,30.6701492678,29.2063551472,27.251071939,25.1002473392,23.7150415722
Brunei,33.3333333333,30.303030303,29.2682926829,27.2727272727,24.2424242424,27.0588235294,35.5769230769,35.593220339,39.2592592593,37.908496732,36.4161849711,35.4166666667,35.5769230769,35.652173913,35.3658536585,34.2307692308,33.0935251799,31.3793103448,30.2631578947,29.5238095238,29.1411042945
Bulgaria,32.3123620309,31.9604172239,32.5776872134,30.3658536585,29.5240339303,28.6009648518,28.759057971,28.8474500112,27.9273061882,27.9677576942,29.1570586728,30.0826005862,30.3975704031,28.7182415073,25.5476613381,23.1598398522,21.6077170418,21.7025572005,22.5035161744,22.7072633896,21.9362274299
Burkina Faso,30.2336448598,29.2607348384,28.2878411911,27.4479568234,26.5364120782,25.6501950585,24.9558043606,24.782494068,25.8636573008,26.974605079,27.7527700831,28.9258610625,28.4222167609,28.1736023539,28.2313235428,28.7824062926,30.7851387007,32.3788827815,33.4509078293,33.9924919368,33.5254750623
Burundi,28.9719626168,27.3504273504,26.2411347518,25.4368932039,25.0739207569,24.7305728871,26.8476621418,29.2054099746,29.4691224269,27.2485009993,25.1193887297,28.8173237091,33.1658291457,34.4782890473,34.2058649872,32.84233497,31.8653290257,32.0467648943,32.5261086726,32.5724949756,31.7739058856
Cambodia,29.0381960423,29.0615957007,28.8709084222,28.6458333333,28.2671272309,28.676056338,28.832,28.3018867925,28.2773564464,27.6630732688,26.6828478964,30.3523837726,33.6316788717,36.6616989568,38.0527939664,35.2972455599,33.039559339,31.2274024738,30.7671332485,30.8557969118,30.2833530106
Cameroon,29.100045683,28.8445552785,28.4531426421,27.8374748153,27.1111111111,26.556445363,26.0444444444,25.8002683535,26.0361842105,26.6809728183,27.8846153846,29.2299044407,30.4408817635,31.3789066018,31.6587444681,32.1051838457,32.7916870075,33.2251784555,33.4386583217,33.0048696649,32.1655877713
Canada,30.1808266361,28.8328945719,27.5561921551,25.9700889248,28.2441348974,31.1684946887,34.1441441441,36.1128428928,35.0131080687,32.6736087166,30.3460981708,28.3875,27.8386750864,27.7768337581,26.7544806737,25.2864663983,23.9863020497,22.944284342,22.8276602699,23.1441843519,23.3656497376
Cape Verde,28.3582089552,26.9230769231,25,23.1481481481,19.6850393701,17.96875,17.2932330827,21.6216216216,24.8484848485,25.9259259259,28.0193236715,29.5652173913,31.7073170732,34.0909090909,34.5195729537,33.5593220339,31.4102564103,29.5031055901,28.3987915408,27.2997032641,27.3529411765
Central African Rep.,29.2048929664,29.0697674419,28.8227334235,28.3600493218,27.6169265033,26.4646464646,26.3440860215,26.8842268842,26.7546907575,27.7167277167,28.1828073993,28.5501489573,29.9276672694,31.0771770532,32.2445879225,33.0045790771,33.2565789474,33.4260977118,33.2261835184,32.75,32.3865144677
Chad,28.9166666667,28.3004552352,27.7091906722,27.3062730627,26.7955801105,26.7481662592,26.5198237885,26.1747572816,25.9946949602,25.9143748228,26.2602016323,26.8047456264,27.5699300699,28.2958199357,29.0392130441,29.8896928004,30.7303193171,31.6152827691,32.4335904027,32.9888027562,33.2924807152
Channel Islands,29.1666666667,28,29.6296296296,29.0909090909,28.813559322,30.6451612903,31.1475409836,33.8461538462,34.328358209,33.3333333333,30.4347826087,27.1428571429,26.0273972603,25.6756756757,26.0273972603,24.6575342466,25,23.6111111111,21.9178082192,22.5352112676,22.5352112676
Chile,28.8416860272,28.1026252983,26.9912675311,26.8132896584,27.2746508675,28.6103542234,31.5083393764,33.952476573,34.6018106491,34.2504211117,32.4373934706,31.0182314275,30.8672566372,30.9741505813,30.7215822647,29.3442795495,27.5752285098,25.9943468605,25.3418504841,25.2009925558,24.9603489294
China,30.1772493501,29.5829775121,29.2863032302,27.713744773,27.0027271381,28.2992622556,29.8154255856,32.6222297536,35.1689456954,35.6320094578,34.6284646376,32.9821937092,31.8186280578,30.1815979126,29.7354986149,28.6832594685,26.3932706586,25.4988018699,25.2561594787,25.0212103501,24.4374553957
Colombia,28.0596015403,26.4052287582,25.0031363693,23.9151606969,24.4871070958,26.6627575808,29.0387631638,31.5492957746,33.1269349845,32.7822468793,32.7082802548,32.3150898034,31.8161867978,31.9533695831,31.51928321,30.880879023,30.2401824531,29.4283941254,28.7523940728,28.1210842182,27.3688319292
Comoros,30.7692307692,29.8850574713,27.3684210526,25.7142857143,25.641025641,25,25.4545454545,26.0416666667,27.6497695853,28.7449392713,30.2919708029,32.5806451613,32.6589595376,32.3759791123,31.7422434368,31.1258278146,31.9672131148,32.7619047619,32.6126126126,31.9658119658,30.5555555556
"Congo, Dem. Rep.",27.0113935145,27.3137346399,27.4880871341,27.6193870278,27.5598573612,27.3125822008,26.9792293799,26.4885199118,25.9803652718,25.57153808,25.6846043624,26.1385393873,27.1713265913,28.3854166667,29.63780614,30.9494957793,31.880614745,32.7159865676,33.404798047,33.6932762088,33.7510614403
"Congo, Rep.",28.7878787879,28.7330316742,27.9441117764,27.0979020979,26.3237518911,25.8106355383,25.6381798002,26.1158594492,26.9293924466,27.6734104046,28.1559814937,29.8708920188,30.9003729355,32.3877068558,33.0638297872,33.1632653061,33.1265961328,32.8098327074,32.7225972356,32.256097561,31.5958066395
Costa Rica,28.6004056795,26.0869565217,23.929098966,23.1343283582,23.83531961,26.7307692308,29.8333333333,33.0422125182,34.0996168582,33.2391181458,32.5825825826,32.5306678782,33.3191850594,33.9037007561,33.2205937617,31.6015764959,29.2053663571,27.7204658902,26.6212710765,25.8505564388,25.5332496863
Cote d'Ivoire,29.0780141844,29.9661016949,30.4050199658,30.6875865252,29.9370137088,29.0623179965,28.2291191237,27.6892065237,27.3865892775,27.9231661725,28.5906945381,28.5917496444,29.2782941498,30.2444987775,30.9782608696,31.8943084006,32.5940860215,32.9633802817,32.9776103787,32.5600743895,31.9865319865
Croatia,27.8715296679,29.8097251586,32.6952922918,31.9676277188,32.0258192651,31.9592628516,31.5243039169,31.961147086,30.9240622141,29.5555555556,28.7557603687,28.7716020551,28.4571966134,27.8937381404,26.6283524904,24.6601941748,23.4683794466,22.8946041351,22.5424601132,22.8300894266,22.7175080559
Cuba,29.0058862001,28.290649196,28.7201973143,27.9041028176,27.1660649819,27.6546822742,28.4853354761,31.9471817107,34.8479158843,36.2906170135,34.0962335556,32.1753073223,29.5584045584,27.1772039181,26.7142857143,26.2439374888,24.0167516387,22.4948875256,21.5187452181,20.9044030147,20.7511931936
Cyprus,27.9835390947,26.8482490272,26.0714285714,25.8741258741,26.2458471761,31.4754098361,33.4426229508,33.4375,31.1764705882,30.0546448087,29.0155440415,28.9926289926,30.3738317757,31.5555555556,30.5907172996,28.0808080808,25.8252427184,24.4821092279,24.1818181818,24.6017699115,24.6551724138
Czech Rep.,29.3914246196,27.0976311711,27.6398186137,27.1665250637,29.0438079191,30.7201646091,31.4469195264,30.987604958,29.2141571686,29.3859649123,31.3705787781,31.8053880177,32.3236271253,29.9690641918,25.9700345755,23.8296239447,22.7062451812,22.6019417476,23.6533957845,24.0360148757,23.365403495
Denmark,29.0033065659,27.0663033606,25.8362676056,26.5366680797,28.6298568507,29.9920127796,30.9881422925,31.5204446209,31.0576164167,30.8139534884,29.5299469295,26.8110530246,24.8161764706,24.4525547445,24.918507787,25.9805685498,26.217765043,25.4206945936,24.8025843503,24.6580273578,24.7832369942
Djibouti,29.0322580645,28.5714285714,27.9069767442,28.0701754386,28.75,28.3185840708,28.1437125749,28,27.9569892473,29.1262135922,29.7520661157,31,32.4200913242,34.1052631579,34.4357976654,34.229390681,33.3333333333,32.2834645669,31.7979197623,31.3475177305,31.0719131615
Dominican Rep.,26.2560777958,26.5235457064,25.9389671362,25.1866600299,24.7210300429,25.2908067542,26.9576807731,28.8181006252,30.4079441761,31.0959238467,31.1221047897,30.9360016677,30.8531359564,30.9838472834,30.9116311561,30.7010205789,30.3568545132,29.726758794,29.18395574,28.4566403881,27.6012648697
Ecuador,27.0783847981,26.4278296989,26.1947700631,25.7751937984,25.5666666667,26.6052404261,27.6654182272,29.020979021,30.5340557276,31.3971742543,31.4290338242,31.109754236,30.8874709977,31.1095890411,31.5138092757,31.4449713002,30.8192771084,29.8722606352,28.7010451361,27.7085222121,26.9373523788
Egypt,29.8120968496,28.7453722748,27.2079464479,25.6450796863,26.0913477724,26.2860885776,26.5687463504,27.6539716228,27.4368851895,27.676711136,28.9303904924,30.6828426448,32.9739146812,33.1380335482,32.5014662164,31.4708346025,30.2061892897,30.3147708097,30.108237627,29.4294342276,28.4460080011
El Salvador,26.4516129032,26.6666666667,25.7121986852,24.922311995,25,25.5369928401,25.5347010039,25.4403932814,26.0416666667,27.5613275613,27.7252015422,27.5251648733,28.1603288798,30.2442288391,32.5558794947,32.8976034858,32.606096832,31.3277408157,29.9633905942,29.8787210584,29.3878656555
Equatorial Guinea,29.3577981651,29.3103448276,27.868852459,28.7878787879,26.7605633803,19.298245614,17.9245283019,32.4675324675,35.4838709677,33.1838565022,27.7992277992,25.4966887417,25.8720930233,27.5064267352,29.3577981651,30.4347826087,30.5660377358,31.3148788927,32.428115016,32.8869047619,32.9624478442
Eritrea,26.7256637168,27.5917065391,27.9661016949,28.2689912827,28.152173913,27.3764258555,24.0558292282,23.5465116279,23.8709677419,23.3034571063,28.7472035794,32.9535095716,34.0590979782,33.1197301855,31.1785929044,31.4986376022,32.785660941,34.0054995417,34.506892895,33.6827531646,32.3128616763
Estonia,27.9317697228,29.8210735586,32.5800376648,33.8003502627,33.3868378812,32.6777609682,31.9587628866,31.9268635724,31.2925170068,29.6851574213,29.3375394322,30.4838709677,32.1428571429,30.8064516129,28.4090909091,25.5663430421,23.240589198,24.459234609,26.5546218487,27.4111675127,26.1904761905
Ethiopia,28.0411693857,28.1722354813,28.3042505593,28.2569097965,28.2070935823,27.6733794454,27.2245943638,27.1115694363,26.8611250209,26.7284037891,26.674450043,27.0099148615,27.9734172126,29.4273550649,30.7911127638,31.8327974277,32.6907826511,33.1546449621,33.4350110151,33.5052113244,33.1325719042
Fiji,27.8145695364,26.9005847953,26.1083743842,26.2711864407,27.6515151515,29.3515358362,30.3405572755,31.7548746518,31.7808219178,31.7948717949,30.9582309582,30.7142857143,31.2643678161,32.6530612245,32.8159645233,32.6039387309,32.3340471092,31.2765957447,29.8507462687,28.9079229122,28.0777537797
Finland,29.7494780793,28.3251231527,28.3973758201,28.5519745801,30.5480682839,33.3919156415,34.4723183391,34.8778433024,32.0941759603,29.2437650845,27.6107594937,26.3342423062,25.600915681,25.9842519685,25.3515914138,24.429727741,24.0250183959,23.5706381409,23.8888888889,24.2266120015,24.1869158879
France,28.4336151169,27.9387199924,28.9480812641,27.1202864967,28.1091114519,29.0392590009,30.406047024,31.9839857651,31.0541928949,30.2641857823,28.7317073171,27.626918536,26.4994583238,25.3100301998,25.0426109463,24.8825706909,24.7771562058,24.6985750822,24.4979433825,23.9364907207,23.4655519803
French Guiana,33.3333333333,28.5714285714,25,25,33.3333333333,28.5714285714,35.2941176471,34.7826086957,34.4262295082,32.8767123288,29.0697674419,29.4117647059,28.0701754386,29.7709923664,30.5555555556,31.875,32.2033898305,30.890052356,31.067961165,29.8165137615,29.3859649123
French Polynesia,26.6666666667,29.4117647059,26.8292682927,26.0869565217,26.3157894737,29.8507462687,30.3797468354,31.8681318681,32.6923076923,33.9285714286,33.3333333333,31.5789473684,32.6086956522,31.7567567568,31.8181818182,31.4465408805,28.7425149701,28.0701754386,27.7456647399,27.1186440678,26.404494382
Gabon,30.303030303,30.1724137931,29.4117647059,28.3400809717,27.2373540856,28.275862069,28.7425149701,28.3887468031,27.9475982533,27.6635514019,28.2679738562,29.4721407625,31.1081441923,33.0900243309,34.0425531915,33.9563862928,33.3980582524,32.3556370302,31.679721497,31.25,30.6891025641
Gambia,29.2682926829,29.197080292,31.1688311688,31.693989071,30.8056872038,29.5275590551,27.1523178808,26.3157894737,26.4108352144,27.2727272727,27.8637770898,27.8731836196,28.0276816609,28.7018255578,29.945553539,31.3262815297,32.4981577008,33.0195023537,33.2920024799,33.1418724871,32.7789699571
Georgia,28.1326781327,30.5227655987,34.262125903,32.3795898903,28.6940804338,28.0815972222,27.8337531486,30.877052463,31.4957594449,30.7436643124,29.6708185053,29.1133238502,29.5214105793,30.0469483568,29.128808124,27.8536318951,25.9943977591,24.7976878613,25.3285543608,25.4478072884,24.374599102
